id,Store,Date,Sales,Promo,StateHoliday,SchoolHoliday
15051,484,2015-04-30,12932,1,0,0
15052,485,2015-04-30,7699,1,0,0
15053,490,2015-04-30,10308,1,0,0
15054,491,2015-04-30,9402,1,0,0
15055,492,2015-04-30,11474,1,0,0
15056,496,2015-04-30,13007,1,0,0
15057,498,2015-04-30,7359,1,0,0
15058,502,2015-04-30,17383,1,0,0
15059,503,2015-04-30,11001,1,0,0
15060,506,2015-04-30,11431,1,0,0
15061,507,2015-04-30,13080,1,0,0
15062,511,2015-04-30,8329,1,0,0
15063,512,2015-04-30,9025,1,0,0
15064,513,2015-04-30,21995,1,0,0
15065,516,2015-04-30,9345,1,0,0
15066,521,2015-04-30,8391,1,0,0
15067,523,2015-04-30,17921,1,0,0
15068,529,2015-04-30,12317,1,0,0
15069,534,2015-04-30,10748,1,0,0
15070,535,2015-04-30,10501,1,0,0
15071,539,2015-04-30,13285,1,0,0
15072,543,2015-04-30,4197,1,0,0
15073,550,2015-04-30,9951,1,0,0
15074,551,2015-04-30,13163,1,0,0
15075,553,2015-04-30,9902,1,0,0
15076,563,2015-04-30,6879,1,0,0
15077,566,2015-04-30,8425,1,0,0
15078,569,2015-04-30,5661,1,0,0
15079,570,2015-04-30,6701,1,0,0
15080,571,2015-04-30,11871,1,0,0
15081,578,2015-04-30,12438,1,0,0
15082,597,2015-04-30,6584,1,0,0
15083,598,2015-04-30,7969,1,0,0
15084,599,2015-04-30,12669,1,0,0
15085,601,2015-04-30,7698,1,0,0
15086,607,2015-04-30,6022,1,0,0
15087,609,2015-04-30,6351,1,0,0
15088,617,2015-04-30,8724,1,0,0
15089,620,2015-04-30,11428,1,0,0
15090,624,2015-04-30,9896,1,0,0
15091,642,2015-04-30,4197,1,0,0
15092,643,2015-04-30,12877,1,0,0
15093,645,2015-04-30,18735,1,0,0
15094,647,2015-04-30,9898,1,0,0
15095,648,2015-04-30,9379,1,0,0
15096,657,2015-04-30,13295,1,0,0
15097,661,2015-04-30,9993,1,0,0
15098,663,2015-04-30,7300,1,0,0
15099,666,2015-04-30,11206,1,0,0
15100,667,2015-04-30,12881,1,0,0
15101,668,2015-04-30,14494,1,0,0
15102,673,2015-04-30,11997,1,0,0
15103,683,2015-04-30,12770,1,0,0
15104,689,2015-04-30,9962,1,0,0
15105,690,2015-04-30,8044,1,0,0
15106,698,2015-04-30,25067,1,0,0
15107,705,2015-04-30,14908,1,0,0
15108,709,2015-04-30,14079,1,0,0
15109,711,2015-04-30,9933,1,0,0
15110,712,2015-04-30,8494,1,0,0
15111,715,2015-04-30,8876,1,0,0
15112,717,2015-04-30,8776,1,0,0
15113,723,2015-04-30,12106,1,0,0
15114,728,2015-04-30,8301,1,0,0
15115,729,2015-04-30,15360,1,0,0
15116,732,2015-04-30,6898,1,0,0
15117,737,2015-04-30,10837,1,0,0
15118,739,2015-04-30,15758,1,0,0
15119,744,2015-04-30,9809,1,0,0
15120,747,2015-04-30,12123,1,0,0
15121,749,2015-04-30,7228,1,0,0
15122,751,2015-04-30,5158,1,0,0
15123,756,2015-04-30,23716,1,0,0
15124,758,2015-04-30,7035,1,0,0
15125,764,2015-04-30,5623,1,0,0
15126,765,2015-04-30,12366,1,0,0
15127,766,2015-04-30,9347,1,0,0
15128,767,2015-04-30,8810,1,0,0
15129,768,2015-04-30,19956,1,0,0
15130,778,2015-04-30,7599,1,0,0
15131,779,2015-04-30,10351,1,0,0
15132,782,2015-04-30,8598,1,0,0
15133,783,2015-04-30,9441,1,0,0
15134,785,2015-04-30,13516,1,0,0
15135,786,2015-04-30,5775,1,0,0
15136,789,2015-04-30,4709,1,0,0
15137,791,2015-04-30,13279,1,0,0
15138,792,2015-04-30,12524,1,0,0
15139,796,2015-04-30,10694,1,0,0
15140,806,2015-04-30,12323,1,0,0
15141,807,2015-04-30,13444,1,0,0
15142,808,2015-04-30,11459,1,0,0
15143,813,2015-04-30,7477,1,0,0
15144,819,2015-04-30,8093,1,0,0
15145,824,2015-04-30,9910,1,0,0
15146,828,2015-04-30,8920,1,0,0
15147,830,2015-04-30,8447,1,0,0
15148,831,2015-04-30,18563,1,0,0
15149,836,2015-04-30,8346,1,0,0
15150,838,2015-04-30,11788,1,0,0
15151,843,2015-04-30,14024,1,0,0
15152,846,2015-04-30,15151,1,0,0
15153,863,2015-04-30,12149,1,0,0
15154,866,2015-04-30,12279,1,0,0
15155,867,2015-04-30,6550,1,0,0
15156,871,2015-04-30,10546,1,0,0
15157,873,2015-04-30,5031,1,0,0
15158,876,2015-04-30,16017,1,0,0
15159,882,2015-04-30,8158,1,0,0
15160,884,2015-04-30,7773,1,0,0
15161,889,2015-04-30,7326,1,0,0
15162,890,2015-04-30,8743,1,0,0
15163,894,2015-04-30,11266,1,0,0
15164,896,2015-04-30,8903,1,0,0
15165,900,2015-04-30,7032,1,0,0
15166,902,2015-04-30,5918,1,0,0
15167,903,2015-04-30,15007,1,0,0
15168,904,2015-04-30,8063,1,0,0
15169,909,2015-04-30,18064,1,0,0
15170,911,2015-04-30,13354,1,0,0
15171,916,2015-04-30,7776,1,0,0
15172,919,2015-04-30,10361,1,0,0
15173,926,2015-04-30,11398,1,0,0
15174,928,2015-04-30,14875,1,0,0
15175,930,2015-04-30,10249,1,0,0
15176,932,2015-04-30,11255,1,0,0
15177,935,2015-04-30,9330,1,0,0
15178,942,2015-04-30,9505,1,0,0
15179,943,2015-04-30,10477,1,0,0
15180,946,2015-04-30,6134,1,0,0
15181,947,2015-04-30,10134,1,0,0
15182,963,2015-04-30,15750,1,0,0
15183,965,2015-04-30,9944,1,0,0
15184,967,2015-04-30,13060,1,0,0
15185,968,2015-04-30,10518,1,0,0
15186,969,2015-04-30,4898,1,0,0
15187,970,2015-04-30,4767,1,0,0
15188,976,2015-04-30,10149,1,0,0
15189,977,2015-04-30,6935,1,0,0
15190,979,2015-04-30,10054,1,0,0
15191,980,2015-04-30,9059,1,0,0
15192,985,2015-04-30,13340,1,0,0
15193,991,2015-04-30,8756,1,0,0
15194,995,2015-04-30,12151,1,0,0
15195,1000,2015-04-30,9722,1,0,0
15196,1004,2015-04-30,8781,1,0,0
15197,1005,2015-04-30,8805,1,0,0
15198,1006,2015-04-30,11413,1,0,0
15199,1007,2015-04-30,11487,1,0,0
15200,1010,2015-04-30,17100,1,0,0
15201,1016,2015-04-30,8359,1,0,0
15202,1022,2015-04-30,11248,1,0,0
15203,1026,2015-04-30,14383,1,0,0
15204,1032,2015-04-30,13099,1,0,0
15205,1033,2015-04-30,20603,1,0,0
15206,1040,2015-04-30,12596,1,0,0
15207,1044,2015-04-30,8082,1,0,0
15208,1045,2015-04-30,10181,1,0,0
15209,1051,2015-04-30,11999,1,0,0
15210,1054,2015-04-30,8784,1,0,0
15211,1059,2015-04-30,12211,1,0,0
15212,1062,2015-04-30,10637,1,0,0
15213,1064,2015-04-30,14815,1,0,0
15214,1066,2015-04-30,14894,1,0,0
15215,1069,2015-04-30,8753,1,0,0
15216,1076,2015-04-30,6993,1,0,0
15217,1089,2015-04-30,14853,1,0,0
15218,1090,2015-04-30,9397,1,0,0
15219,1092,2015-04-30,14518,1,0,0
15220,1093,2015-04-30,10902,1,0,0
15221,1094,2015-04-30,5796,1,0,0
15222,1097,2015-04-30,14221,1,0,0
15223,1098,2015-04-30,7023,1,0,0
15224,1099,2015-04-30,8957,1,0,0
15225,1104,2015-04-30,8237,1,0,0
15226,1105,2015-04-30,9644,1,0,0
15227,1106,2015-04-30,6552,1,0,0
15228,1108,2015-04-30,8770,1,0,0
15229,1111,2015-04-30,5592,1,0,0
15230,1112,2015-04-30,12603,1,0,0
15231,1113,2015-04-30,9290,1,0,0
15232,1,2015-04-29,5775,1,0,0
15233,9,2015-04-29,7761,1,0,0
15234,11,2015-04-29,9573,1,0,0
15235,12,2015-04-29,9680,1,0,0
15236,14,2015-04-29,5586,1,0,0
15237,18,2015-04-29,7957,1,0,0
15238,21,2015-04-29,7288,1,0,0
15239,24,2015-04-29,12856,1,0,0
15240,25,2015-04-29,12585,1,0,0
15241,38,2015-04-29,8163,1,0,0
15242,41,2015-04-29,7027,1,0,0
15243,43,2015-04-29,7869,1,0,0
15244,55,2015-04-29,7020,1,0,0
15245,56,2015-04-29,9291,1,0,0
15246,60,2015-04-29,12564,1,0,0
15247,68,2015-04-29,9088,1,0,0
15248,75,2015-04-29,7726,1,0,0
15249,78,2015-04-29,5013,1,0,0
15250,84,2015-04-29,16502,1,0,0
15251,85,2015-04-29,7349,1,0,0
15252,91,2015-04-29,5904,1,0,0
15253,95,2015-04-29,9188,1,0,0
15254,98,2015-04-29,7492,1,0,0
15255,101,2015-04-29,9748,1,0,0
15256,111,2015-04-29,8634,1,0,0
15257,113,2015-04-29,5822,1,0,0
15258,115,2015-04-29,9310,1,0,0
15259,120,2015-04-29,9147,1,0,0
15260,121,2015-04-29,5827,1,0,0
15261,128,2015-04-29,9643,1,0,0
15262,133,2015-04-29,7053,1,0,0
15263,134,2015-04-29,4972,1,0,0
15264,138,2015-04-29,10209,1,0,0
15265,142,2015-04-29,5904,1,0,0
15266,145,2015-04-29,10573,1,0,0
15267,148,2015-04-29,9997,1,0,0
15268,152,2015-04-29,7743,1,0,0
15269,155,2015-04-29,7239,1,0,0
15270,156,2015-04-29,8169,1,0,0
15271,157,2015-04-29,11572,1,0,0
15272,158,2015-04-29,9588,1,0,0
15273,159,2015-04-29,9040,1,0,0
15274,161,2015-04-29,8314,1,0,0
15275,163,2015-04-29,7582,1,0,0
15276,164,2015-04-29,8566,1,0,0
15277,168,2015-04-29,9526,1,0,0
15278,173,2015-04-29,9403,1,0,0
15279,175,2015-04-29,6541,1,0,0
15280,180,2015-04-29,8564,1,0,0
15281,186,2015-04-29,5110,1,0,0
15282,187,2015-04-29,7265,1,0,0
15283,195,2015-04-29,13469,1,0,0
15284,196,2015-04-29,6091,1,0,0
15285,204,2015-04-29,6789,1,0,0
15286,205,2015-04-29,8492,1,0,0
15287,213,2015-04-29,10158,1,0,0
15288,216,2015-04-29,9150,1,0,0
15289,218,2015-04-29,6534,1,0,0
15290,219,2015-04-29,3785,1,0,0
15291,220,2015-04-29,5852,1,0,0
15292,221,2015-04-29,7460,1,0,0
15293,227,2015-04-29,8377,1,0,0
15294,231,2015-04-29,6772,1,0,0
15295,234,2015-04-29,13414,1,0,0
15296,237,2015-04-29,5524,1,0,0
15297,238,2015-04-29,9352,1,0,0
15298,249,2015-04-29,6761,1,0,0
15299,253,2015-04-29,8318,1,0,0
15300,257,2015-04-29,5962,1,0,0
15301,260,2015-04-29,7085,1,0,0
15302,261,2015-04-29,16193,1,0,0
15303,273,2015-04-29,8724,1,0,0
15304,278,2015-04-29,8163,1,0,0
15305,281,2015-04-29,7042,1,0,0
15306,284,2015-04-29,5962,1,0,0
15307,285,2015-04-29,6399,1,0,0
15308,288,2015-04-29,6902,1,0,0
15309,289,2015-04-29,6510,1,0,0
15310,291,2015-04-29,10486,1,0,0
15311,292,2015-04-29,6859,1,0,0
15312,295,2015-04-29,6512,1,0,0
15313,296,2015-04-29,9921,1,0,0
15314,297,2015-04-29,8593,1,0,0
15315,310,2015-04-29,12482,1,0,0
15316,313,2015-04-29,7824,1,0,0
15317,316,2015-04-29,13283,1,0,0
15318,319,2015-04-29,8839,1,0,0
15319,320,2015-04-29,17060,1,0,0
15320,324,2015-04-29,7931,1,0,0
15321,332,2015-04-29,4790,1,0,0
15322,339,2015-04-29,5694,1,0,0
15323,341,2015-04-29,6591,1,0,0
15324,342,2015-04-29,12913,1,0,0
15325,346,2015-04-29,8481,1,0,0
15326,351,2015-04-29,8537,1,0,0
15327,352,2015-04-29,7214,1,0,0
15328,354,2015-04-29,9517,1,0,0
15329,357,2015-04-29,8836,1,0,0
15330,359,2015-04-29,7512,1,0,0
15331,366,2015-04-29,7341,1,0,0
15332,372,2015-04-29,11590,1,0,0
15333,374,2015-04-29,8825,1,0,0
15334,377,2015-04-29,10168,1,0,0
15335,381,2015-04-29,11534,1,0,0
15336,391,2015-04-29,7849,1,0,0
15337,397,2015-04-29,8717,1,0,0
15338,399,2015-04-29,7873,1,0,0
15339,410,2015-04-29,9299,1,0,0
15340,421,2015-04-29,9876,1,0,0
15341,435,2015-04-29,4156,1,0,0
15342,444,2015-04-29,11589,1,0,0
15343,447,2015-04-29,5481,1,0,0
15344,456,2015-04-29,7502,1,0,0
15345,460,2015-04-29,4473,1,0,0
15346,461,2015-04-29,6198,1,0,0
15347,466,2015-04-29,10246,1,0,0
15348,469,2015-04-29,12789,1,0,0
15349,470,2015-04-29,14079,1,0,0
15350,471,2015-04-29,8908,1,0,0
15351,484,2015-04-29,8917,1,0,0
15352,485,2015-04-29,5671,1,0,0
15353,490,2015-04-29,9677,1,0,0
15354,491,2015-04-29,8567,1,0,0
15355,492,2015-04-29,9878,1,0,0
15356,496,2015-04-29,9062,1,0,0
15357,498,2015-04-29,7796,1,0,0
15358,502,2015-04-29,12415,1,0,0
15359,503,2015-04-29,10046,1,0,0
15360,506,2015-04-29,11266,1,0,0
15361,507,2015-04-29,9704,1,0,0
15362,511,2015-04-29,6256,1,0,0
15363,512,2015-04-29,6389,1,0,0
15364,513,2015-04-29,20447,1,0,0
15365,516,2015-04-29,8156,1,0,0
15366,521,2015-04-29,6487,1,0,0
15367,523,2015-04-29,15270,1,0,0
15368,529,2015-04-29,9455,1,0,0
15369,534,2015-04-29,10301,1,0,0
15370,535,2015-04-29,10268,1,0,0
15371,539,2015-04-29,13446,1,0,0
15372,543,2015-04-29,3393,1,0,0
15373,550,2015-04-29,7780,1,0,0
15374,551,2015-04-29,7748,1,0,0
15375,553,2015-04-29,7218,1,0,0
15376,563,2015-04-29,4784,1,0,0
15377,566,2015-04-29,6099,1,0,0
15378,569,2015-04-29,4888,1,0,0
15379,570,2015-04-29,5762,1,0,0
15380,571,2015-04-29,9343,1,0,0
15381,578,2015-04-29,9795,1,0,0
15382,597,2015-04-29,5974,1,0,0
15383,598,2015-04-29,6580,1,0,0
15384,599,2015-04-29,11305,1,0,0
15385,601,2015-04-29,5983,1,0,0
15386,607,2015-04-29,4388,1,0,0
15387,609,2015-04-29,5878,1,0,0
15388,617,2015-04-29,9313,1,0,0
15389,620,2015-04-29,9856,1,0,0
15390,624,2015-04-29,8276,1,0,0
15391,642,2015-04-29,4168,1,0,0
15392,643,2015-04-29,10979,1,0,0
15393,645,2015-04-29,15269,1,0,0
15394,647,2015-04-29,7776,1,0,0
15395,648,2015-04-29,8026,1,0,0
15396,657,2015-04-29,8526,1,0,0
15397,661,2015-04-29,7926,1,0,0
15398,663,2015-04-29,7173,1,0,0
15399,666,2015-04-29,8032,1,0,0
15400,667,2015-04-29,9437,1,0,0
15401,668,2015-04-29,10098,1,0,0
15402,673,2015-04-29,9576,1,0,0
15403,683,2015-04-29,10251,1,0,0
15404,689,2015-04-29,7362,1,0,0
15405,690,2015-04-29,6937,1,0,0
15406,698,2015-04-29,18456,1,0,0
15407,705,2015-04-29,10358,1,0,0
15408,709,2015-04-29,11961,1,0,0
15409,711,2015-04-29,8885,1,0,0
15410,712,2015-04-29,8334,1,0,0
15411,715,2015-04-29,9708,1,0,0
15412,717,2015-04-29,7144,1,0,0
15413,723,2015-04-29,10198,1,0,0
15414,728,2015-04-29,6651,1,0,0
15415,729,2015-04-29,11999,1,0,0
15416,732,2015-04-29,5633,1,0,0
15417,737,2015-04-29,7370,1,0,0
15418,739,2015-04-29,12775,1,0,0
15419,744,2015-04-29,8904,1,0,0
15420,747,2015-04-29,9801,1,0,0
15421,749,2015-04-29,6209,1,0,0
15422,751,2015-04-29,5042,1,0,0
15423,756,2015-04-29,18779,1,0,0
15424,758,2015-04-29,6106,1,0,0
15425,764,2015-04-29,4689,1,0,0
15426,765,2015-04-29,9770,1,0,0
15427,766,2015-04-29,7719,1,0,0
15428,767,2015-04-29,7981,1,0,0
15429,768,2015-04-29,16204,1,0,0
15430,778,2015-04-29,7135,1,0,0
15431,779,2015-04-29,9360,1,0,0
15432,782,2015-04-29,5438,1,0,0
15433,783,2015-04-29,7702,1,0,0
15434,785,2015-04-29,11414,1,0,0
15435,786,2015-04-29,5050,1,0,0
15436,789,2015-04-29,3856,1,0,0
15437,791,2015-04-29,9728,1,0,0
15438,792,2015-04-29,10422,1,0,0
15439,796,2015-04-29,9486,1,0,0
15440,806,2015-04-29,9856,1,0,0
15441,807,2015-04-29,11151,1,0,0
15442,808,2015-04-29,10344,1,0,0
15443,813,2015-04-29,6525,1,0,0
15444,819,2015-04-29,7647,1,0,0
15445,824,2015-04-29,8901,1,0,0
15446,828,2015-04-29,6289,1,0,0
15447,830,2015-04-29,7421,1,0,0
15448,831,2015-04-29,16943,1,0,0
15449,836,2015-04-29,7824,1,0,0
15450,838,2015-04-29,10419,1,0,0
15451,843,2015-04-29,10954,1,0,0
15452,846,2015-04-29,11077,1,0,0
15453,863,2015-04-29,8920,1,0,0
15454,866,2015-04-29,9267,1,0,0
15455,867,2015-04-29,5988,1,0,0
15456,871,2015-04-29,8541,1,0,0
15457,873,2015-04-29,4163,1,0,0
15458,876,2015-04-29,11081,1,0,0
15459,882,2015-04-29,7568,1,0,0
15460,884,2015-04-29,7227,1,0,0
15461,889,2015-04-29,5405,1,0,0
15462,890,2015-04-29,7452,1,0,0
15463,894,2015-04-29,11261,1,0,0
15464,896,2015-04-29,7315,1,0,0
15465,900,2015-04-29,7419,1,0,0
15466,902,2015-04-29,5240,1,0,0
15467,903,2015-04-29,13198,1,0,0
15468,904,2015-04-29,6769,1,0,0
15469,909,2015-04-29,15572,1,0,0
15470,911,2015-04-29,12037,1,0,0
15471,916,2015-04-29,6723,1,0,0
15472,919,2015-04-29,7854,1,0,0
15473,926,2015-04-29,9947,1,0,0
15474,928,2015-04-29,12995,1,0,0
15475,930,2015-04-29,7631,1,0,0
15476,932,2015-04-29,8516,1,0,0
15477,935,2015-04-29,7398,1,0,0
15478,942,2015-04-29,7468,1,0,0
15479,943,2015-04-29,7966,1,0,0
15480,946,2015-04-29,5545,1,0,0
15481,947,2015-04-29,11056,1,0,0
15482,963,2015-04-29,14829,1,0,0
15483,965,2015-04-29,9559,1,0,0
15484,967,2015-04-29,9597,1,0,0
15485,968,2015-04-29,8363,1,0,0
15486,969,2015-04-29,4964,1,0,0
15487,970,2015-04-29,3625,1,0,0
15488,976,2015-04-29,8353,1,0,0
15489,977,2015-04-29,6271,1,0,0
15490,979,2015-04-29,8111,1,0,0
15491,980,2015-04-29,8561,1,0,0
15492,985,2015-04-29,10714,1,0,0
15493,991,2015-04-29,6331,1,0,0
15494,995,2015-04-29,11767,1,0,0
15495,1000,2015-04-29,8933,1,0,0
15496,1004,2015-04-29,6903,1,0,0
15497,1005,2015-04-29,7212,1,0,0
15498,1006,2015-04-29,8333,1,0,0
15499,1007,2015-04-29,9046,1,0,0
15500,1010,2015-04-29,13175,1,0,0
15501,1016,2015-04-29,7306,1,0,0
15502,1022,2015-04-29,8864,1,0,0
15503,1026,2015-04-29,11297,1,0,0
15504,1032,2015-04-29,11349,1,0,0
15505,1033,2015-04-29,17544,1,0,0
15506,1040,2015-04-29,11205,1,0,0
15507,1044,2015-04-29,7567,1,0,0
15508,1045,2015-04-29,8661,1,0,0
15509,1051,2015-04-29,11951,1,0,0
15510,1054,2015-04-29,8351,1,0,0
15511,1059,2015-04-29,10449,1,0,0
15512,1062,2015-04-29,8757,1,0,0
15513,1064,2015-04-29,11770,1,0,0
15514,1066,2015-04-29,12618,1,0,0
15515,1069,2015-04-29,9624,1,0,0
15516,1076,2015-04-29,4223,1,0,0
15517,1089,2015-04-29,12471,1,0,0
15518,1090,2015-04-29,10005,1,0,0
15519,1092,2015-04-29,13224,1,0,0
15520,1093,2015-04-29,10344,1,0,0
15521,1094,2015-04-29,6082,1,0,0
15522,1097,2015-04-29,10806,1,0,0
15523,1098,2015-04-29,7149,1,0,0
15524,1099,2015-04-29,8237,1,0,0
15525,1104,2015-04-29,7677,1,0,0
15526,1105,2015-04-29,6720,1,0,0
15527,1106,2015-04-29,6223,1,0,0
15528,1108,2015-04-29,8804,1,0,0
15529,1111,2015-04-29,5934,1,0,0
15530,1112,2015-04-29,11638,1,0,0
15531,1113,2015-04-29,7512,1,0,0
15532,1,2015-04-28,5199,1,0,0
15533,9,2015-04-28,7906,1,0,0
15534,11,2015-04-28,8320,1,0,0
15535,12,2015-04-28,10132,1,0,0
15536,14,2015-04-28,6850,1,0,0
15537,18,2015-04-28,8517,1,0,0
15538,21,2015-04-28,7385,1,0,0
15539,24,2015-04-28,11516,1,0,0
15540,25,2015-04-28,12287,1,0,0
15541,38,2015-04-28,7741,1,0,0
15542,41,2015-04-28,6744,1,0,0
15543,43,2015-04-28,8788,1,0,0
15544,55,2015-04-28,5919,1,0,0
15545,56,2015-04-28,8434,1,0,0
15546,60,2015-04-28,11156,1,0,0
15547,68,2015-04-28,7588,1,0,0
15548,75,2015-04-28,6389,1,0,0
15549,78,2015-04-28,5134,1,0,0
15550,84,2015-04-28,15681,1,0,0
15551,85,2015-04-28,7712,1,0,0
15552,91,2015-04-28,5258,1,0,0
15553,95,2015-04-28,8336,1,0,0
15554,98,2015-04-28,6360,1,0,0
15555,101,2015-04-28,8636,1,0,0
15556,111,2015-04-28,7873,1,0,0
15557,113,2015-04-28,5717,1,0,0
15558,115,2015-04-28,8253,1,0,0
15559,120,2015-04-28,8718,1,0,0
15560,121,2015-04-28,4489,1,0,0
15561,128,2015-04-28,9327,1,0,0
15562,133,2015-04-28,7580,1,0,0
15563,134,2015-04-28,4989,1,0,0
15564,138,2015-04-28,9463,1,0,0
15565,142,2015-04-28,5290,1,0,0
15566,145,2015-04-28,8645,1,0,0
15567,148,2015-04-28,10801,1,0,0
15568,152,2015-04-28,7520,1,0,0
15569,155,2015-04-28,7485,1,0,0
15570,156,2015-04-28,8985,1,0,0
15571,157,2015-04-28,12813,1,0,0
15572,158,2015-04-28,9450,1,0,0
15573,159,2015-04-28,9319,1,0,0
15574,161,2015-04-28,8549,1,0,0
15575,163,2015-04-28,6933,1,0,0
15576,164,2015-04-28,8154,1,0,0
15577,168,2015-04-28,8785,1,0,0
15578,173,2015-04-28,9586,1,0,0
15579,175,2015-04-28,7150,1,0,0
15580,180,2015-04-28,8851,1,0,0
15581,186,2015-04-28,4371,1,0,0
15582,187,2015-04-28,8579,1,0,0
15583,195,2015-04-28,13402,1,0,0
15584,196,2015-04-28,6148,1,0,0
15585,204,2015-04-28,5415,1,0,0
15586,205,2015-04-28,7473,1,0,0
15587,213,2015-04-28,10966,1,0,0
15588,216,2015-04-28,9290,1,0,0
